ID,pid,MATINH,Urban_Rural,age,gender,Q302,Q303A,Q303B,Q304_1,Q304_2,Q304_3,Q304_4,Q305A1,Q305A2,Q305B1,Q305B2,Q306,Q307,Q308,Q309,Q310A1,Q310A2,Q310B1,Q310B2,Q311,Q305A,Q305B,Q310AA,Q310B,region3,agegroup,weight
4.64742E+14,4,46,1,37,1,12,4,4,1,,,,9,93,3,33,4,1,9000,2,,,,,,th___ c__ khí,,,,Central,15-44,1669648
5.65682E+14,4,56,1,32,1,12,3,2,1,,,,4,42,5,36,5,1,15000,1,,,,,,nhân viên cty c___p thoát n_____c,,,,Central,15-44,1669648
4.84922E+14,5,48,1,43,1,9,2,0,1,,,,9,93,21,96,4,1,6000,1,,,,,,ch___y shopee,,,,Central,15-44,1669648
3.83932E+14,4,38,1,42,1,12,3,0,1,,,,7,75,3,32,6,1,8500,1,,,,,,công nhân,,,,Central,15-44,1669648
4.64802E+14,4,46,1,38,1,6,1,0,1,,,,9,93,6,41,4,1,7000,2,,,,,,th___ xây d___ng,,,,Central,15-44,1669648
3.84062E+14,4,38,1,32,1,12,3,0,3,,,,9,93,6,41,4,1,6000,2,,,,,,th___ xây,,,,Central,15-44,1669648
6.46252E+14,1,64,1,22,1,12,3,0,3,,,,5,51,10,63,2,1,0,2,,,,,,qu___ng cáo,,,,Central,15-44,1669648
6.66462E+14,1,66,1,21,1,12,3,0,3,,,,7,75,21,96,2,1,7000,2,,,,,,làm tóc,,,,Central,15-44,1669648
3.83932E+14,3,38,1,34,1,12,3,0,3,,,,8,82,7,45,4,1,10000,2,,,,,,s___a xe máy,,,,Central,15-44,1669648
4.84912E+14,1,48,1,18,1,12,3,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
5.25402E+14,3,52,1,36,1,12,3,2,3,,,,5,52,21,96,2,1,10000,2,,,,,,buôn bán cây c___nh,,,,Central,15-44,1669648
5.65722E+14,2,56,1,18,1,9,2,0,3,,,,9,95,14,77,4,1,300,2,6,61,1,1,1,gia dình là d___ch v___ c_____i h___i,,b___c vác lúa,,Central,15-44,1669648
4.44502E+14,4,44,1,38,1,12,4,0,1,,,,3,33,8,52,4,1,9000,1,,,,,,NV XU LY HAG HOA GHTK,,,,Central,15-44,1669648
5.65722E+14,2,56,1,36,1,9,2,0,2,,,,6,63,1,1,4,1,5000,2,,,,,,lam nông,,,,Central,15-44,1669648
6.66432E+14,1,66,1,19,1,1,5,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
5.65682E+14,1,56,1,42,1,9,2,0,1,,,,7,71,6,42,4,1,15000,2,7,72,3,25,4,cong nhan xay dung,,co khi dan dung,,Central,15-44,1669648
